session,stim1,stim2,stim3,stim4,stim5,stim6,act2,act3,act4,act5,act6,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,frames.thisRepN,frames.thisTrialN,frames.thisN,frames.thisIndex,thisRow.t,notes,Globals.started,Globals.stopped,SessionIntro.started,sessText.started,sessKey.started,SessionIntro.stopped,sessKey.keys,sessKey.rt,sessKey.duration,TrialIntro.started,trialText.started,trialKey.started,TrialIntro.stopped,trialKey.keys,trialKey.rt,trialKey.duration,Frame.started,img.started,resp.started,img.stopped,resp.stopped,Frame.stopped,frameIdx,stimFile,expected,resp,rt,correct,resp.keys,resp.rt,resp.duration,ITI.started,itiText.started,itiKey.started,ITI.stopped,itiKey.keys,itiKey.rt,itiKey.duration,participant,date,expName,psychopyVersion,frameRate,expStart,
1,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,b,x,b,x,0,0,0,0,0,0,0,0,1.2544139089877717,,0.011091460008174181,0.011159515008330345,0.019098588032647967,0.0295000720070675,0.0295000720070675,0.7535875380272046,return,0.720282786001917,None,0.7544143380364403,0.7637782160309143,0.7637782160309143,1.2385619700071402,return,0.4598338679643348,None,1.239634654019028,1.2544139089877717,1.2544139089877717,2.2400122130056843,3.2477423429954797,3.238640339986887,0,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,,,,,None,,,,,,,,,,1,2025-10-07_09h00.21.757,1back_category,2023.2.3,None,2025-10-07 09h00.30.479817 -0400,
1,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,b,x,b,x,0,0,0,0,1,0,1,0,3.2477423429954797,,,,,,,,,,,,,,,,,,3.2393212410388514,3.2477423429954797,3.2477423429954797,4.23989377100952,5.248617995996028,5.238876646035351,1,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,x,x,1.322022175998427,1,x,1.322022175998427,None,,,,,,,,1,2025-10-07_09h00.21.757,1back_category,2023.2.3,None,2025-10-07 09h00.30.479817 -0400,
1,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,b,x,b,x,0,0,0,0,2,0,2,0,5.248617995996028,,,,,,,,,,,,,,,,,,5.239818694011774,5.248617995996028,5.248617995996028,6.240175831015222,7.248405746999197,7.2389377190265805,2,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,b,b,0.7466747899889015,1,b,0.7466747899889015,None,,,,,,,,1,2025-10-07_09h00.21.757,1back_category,2023.2.3,None,2025-10-07 09h00.30.479817 -0400,
1,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,b,x,b,x,0,0,0,0,3,0,3,0,7.248405746999197,,,,,,,,,,,,,,,,,,7.239733555994462,7.248405746999197,7.248405746999197,8.240359491028357,9.24677484901622,9.238399343041237,3,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,x,x,0.29818598000565544,1,x,0.29818598000565544,None,,,,,,,,1,2025-10-07_09h00.21.757,1back_category,2023.2.3,None,2025-10-07 09h00.30.479817 -0400,
1,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,b,x,b,x,0,0,0,0,4,0,4,0,9.24677484901622,,,,,,,,,,,,,,,,,,9.239011835015845,9.24677484901622,9.24677484901622,10.239826095988974,11.248410456988495,11.239126367028803,4,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,b,x,1.8681979089742526,0,x,1.8681979089742526,None,,,,,,,,1,2025-10-07_09h00.21.757,1back_category,2023.2.3,None,2025-10-07 09h00.30.479817 -0400,
1,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,b,x,b,x,0,0,0,0,5,0,5,0,11.248410456988495,,,,,,,,,,,,,,,,,,11.23992745904252,11.248410456988495,11.248410456988495,12.240021020988934,13.242597906035371,13.239116942044348,5,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,b,1.4771972569869831,0,b,1.4771972569869831,None,,,,,,,,1,2025-10-07_09h00.21.757,1back_category,2023.2.3,None,2025-10-07 09h00.30.479817 -0400,
1,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,b,x,b,x,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2025-10-07_09h00.21.757,1back_category,2023.2.3,None,2025-10-07 09h00.30.479817 -0400,
1,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,b,x,b,x,0,1,1,1,0,0,0,0,14.197653327020817,,,,13.240014852024615,,,13.240065500023775,None,,,13.240206162037794,13.242597906035371,13.242597906035371,14.188232966000214,return,0.9451496379915625,None,14.189231997006573,14.197653327020817,14.197653327020817,15.190683599037584,,16.188949808012694,0,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,,b,1.9244643279816955,,b,1.9244643279816955,None,,,,,,,,1,2025-10-07_09h00.21.757,1back_category,2023.2.3,None,2025-10-07 09h00.30.479817 -0400,
1,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,b,x,b,x,0,1,1,1,1,0,1,0,16.197643185034394,,,,,,,,,,,,,,,,,,16.18977795500541,16.197643185034394,16.197643185034394,17.190568638034165,,18.18914999003755,1,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,x,,,0,None,,,,,,,,,,1,2025-10-07_09h00.21.757,1back_category,2023.2.3,None,2025-10-07 09h00.30.479817 -0400,
1,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/157_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/188_Chairs.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/352_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/386_Cars.png,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/402_Animals.png,x,b,x,b,x,0,1,1,1,2,0,2,0,18.198082863003947,,,,,,,,,,,,,,,,,,18.189726707001682,18.198082863003947,18.198082863003947,19.19041278504301,,20.189398340007756,2,/Users/xiaoxuan/Desktop/202510_proj_nat_abs_pyschopy/images/306_Planes.png,b,x,0.2861113279941492,0,x,0.2861113279941492,None,,,,,,,,1,2025-10-07_09h00.21.757,1back_category,2023.2.3,None,2025-10-07 09h00.30.479817 -0400,
