session,stim1,stim2,stim3,stim4,stim5,stim6,act2,act3,act4,act5,act6
1,images/Variation06_20110131/clio_rx+38.470_ry+69.221_rz-76.168_tx+00.591_ty-00.477_s+01.260_d6288d2ff384590e70fd5aa1d6768ce47a163a62_256x256.png,images/gray_background.png,images/gray_background.png,images/Variation06_20110131/motoryacht_rx+50.827_ry+62.377_rz+69.048_tx+00.224_ty+00.580_s+01.508_7a02c166ec927929995becc3d93b0f7f7195cd9a_256x256.png,images/Variation06_20110131/bmw325_rx+35.950_ry+00.026_rz-23.155_tx+00.599_ty-00.743_s+01.099_275315df97c51740c26c0262ec467dab4a6c1724_256x256.png,images/Variation06_20110131/motoryacht_rx+50.827_ry+62.377_rz+69.048_tx+00.224_ty+00.580_s+01.508_7a02c166ec927929995becc3d93b0f7f7195cd9a_256x256.png,b,b,b,x,x
1,images/Variation03_20110128/_10_rx-36.758_ry-32.007_rz-19.386_tx-00.167_ty+00.258_s+00.846_ad5af65c248155ad753a599fe6a934b7938df4f1_256x256.png,images/gray_background.png,images/Variation00_20110203/cruiser_rx+00.000_ry+90.000_rz+00.000_tx+00.000_ty+00.000_s+01.200_2b6cecbb41225444591d526c630a14f55242b461_256x256.png,images/Variation06_20110131/Beetle_rx+77.560_ry-25.624_rz+00.533_tx-00.298_ty-00.400_s+01.460_649b6644656e7d09ae5432a3b8f9430063931aa6_256x256.png,images/gray_background.png,images/Variation06_20110131/cruiser_rx-59.848_ry+91.070_rz-14.708_tx-00.382_ty+00.326_s+01.422_00b9334afb5268a64ab035fcbe0b4f85fa929564_256x256.png,b,b,none,b,x
1,images/Variation03_20110128/_014_rx+09.895_ry+15.820_rz-27.045_tx+00.031_ty-00.303_s+00.673_0d944a5c935dbb8a926303060563f571bd96d13d_256x256.png,images/gray_background.png,images/Variation06_20110131/ELEPHANT_M_rx+65.120_ry+88.545_rz-57.932_tx-00.179_ty-00.506_s+01.054_710930fa3b53c88079df00e51c2708cdaa36cab5_256x256.png,images/gray_background.png,images/Variation03_20110128/_001_rx+15.106_ry-29.240_rz+14.483_tx-00.274_ty+00.179_s+00.788_9ebe76d6e35a63bf87ce066fb6fe641974bb21cb_256x256.png,images/Variation06_20110131/Strawberry_obj_rx-62.259_ry-03.943_rz+65.040_tx+00.386_ty+00.820_s+00.768_838fc10ae4d5aecb22595ca7e1aba67fd0fd9c32_256x256.png,b,b,b,none,none
1,images/Variation06_20110131/sopwith_rx-53.821_ry-22.344_rz-74.777_tx-00.175_ty+00.882_s+01.441_c2c705881a93a33765d92968d97c9c850b65b09d_256x256.png,images/gray_background.png,images/Variation03_20110128/_11_rx-11.954_ry+12.711_rz-35.079_tx+00.095_ty-00.582_s+00.671_cbbea4e7cc7440c695858aebb0fa8a9415f44541_256x256.png,images/gray_background.png,images/Variation06_20110131/sopwith_rx-53.821_ry-22.344_rz-74.777_tx-00.175_ty+00.882_s+01.441_c2c705881a93a33765d92968d97c9c850b65b09d_256x256.png,images/Variation03_20110128/_11_rx-11.954_ry+12.711_rz-35.079_tx+00.095_ty-00.582_s+00.671_cbbea4e7cc7440c695858aebb0fa8a9415f44541_256x256.png,b,b,b,x,x
1,images/Variation03_20110128/face0002_rx-20.717_ry+19.720_rz+20.452_tx+00.249_ty-00.030_s+00.958_165f420ecce2594b1d48540404bb8afd05074667_256x256.png,images/gray_background.png,images/Variation00_20110203/watermelon_obj_rx-90.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_acb18d33e8a8fce3b2a1ec37b5906673e08d6a26_256x256.png,images/gray_background.png,images/Variation06_20110131/_18_rx-73.254_ry+29.318_rz-67.769_tx+00.129_ty+00.397_s+00.616_284cc8ef4e15393ab4f661f8f31d7bcbc909bb18_256x256.png,images/Variation00_20110203/f16_rx+00.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+01.300_935c06cee1b2005301b2d61abbacb7f71739221e_256x256.png,b,b,b,none,none
1,images/Variation03_20110128/GORILLA_rx-22.441_ry-28.817_rz+38.184_tx+00.194_ty+00.397_s+00.638_477674f59a30d02366d0838fbaedbefbfcc44264_256x256.png,images/Variation03_20110128/MQUEEN_L_rx-23.942_ry-44.556_rz-43.989_tx+00.270_ty-00.114_s+01.497_41c152a34df114d531f527d456ee2e3076fbe058_256x256.png,images/gray_background.png,images/Variation06_20110131/_031_rx-87.243_ry-56.428_rz-38.987_tx-00.255_ty+00.540_s+00.943_4850d4321c26797dcbc9785beedfa01d46dc7cc6_256x256.png,images/gray_background.png,images/Variation03_20110128/MQUEEN_L_rx-29.272_ry-33.980_rz+35.749_tx+00.177_ty-00.315_s+01.552_8a3d9b3bf408c5a9369502586672f79e4cc3bb85_256x256.png,b,b,none,b,x
1,images/Variation06_20110131/SISTER_L_rx-52.622_ry-50.431_rz+66.617_tx-00.134_ty+00.249_s+01.380_19b697b2e57e4bf2099be0a96cf3f5d68ba7540d_256x256.png,images/Variation06_20110131/face0006_rx+40.070_ry-24.483_rz+16.317_tx+00.224_ty-00.848_s+01.227_57d332a8440128afba2d9b2733954782c0cab7af_256x256.png,images/Variation06_20110131/Apple_Fruit_obj_rx-109.723_ry-76.217_rz+38.215_tx+00.120_ty-00.180_s+00.720_dad3834669f6e4e0717460eec93f815da024ddc5_256x256.png,images/gray_background.png,images/gray_background.png,images/Variation06_20110131/face0006_rx+40.070_ry-24.483_rz+16.317_tx+00.224_ty-00.848_s+01.227_57d332a8440128afba2d9b2733954782c0cab7af_256x256.png,b,x,b,b,x
1,images/Variation00_20110203/_031_rx+00.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_143176a572871d3144176d44b50d0e307f2cf148_256x256.png,images/gray_background.png,images/Variation06_20110131/bmw325_rx+35.950_ry+00.026_rz-23.155_tx+00.599_ty-00.743_s+01.099_275315df97c51740c26c0262ec467dab4a6c1724_256x256.png,images/Variation06_20110131/BAHRAIN_rx+15.093_ry-64.195_rz+71.221_tx+00.524_ty-01.160_s+01.493_16c5ee559a7f033a288a55a1d25f76d745e3e5b2_256x256.png,images/gray_background.png,images/Variation06_20110131/bmw325_rx+35.950_ry+00.026_rz-23.155_tx+00.599_ty-00.743_s+01.099_275315df97c51740c26c0262ec467dab4a6c1724_256x256.png,b,b,none,b,x
1,images/Variation06_20110131/ELEPHANT_M_rx+65.120_ry+88.545_rz-57.932_tx-00.179_ty-00.506_s+01.054_710930fa3b53c88079df00e51c2708cdaa36cab5_256x256.png,images/Variation00_20110203/_12_rx+00.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_8953c11a30551a12b76b52140516eae56723a987_256x256.png,images/gray_background.png,images/gray_background.png,images/Variation03_20110128/motoryacht_rx-20.483_ry+126.293_rz+22.229_tx+00.175_ty-00.043_s+00.942_33d8809229eef0df411fe6a827d54caa653d7ab6_256x256.png,images/Variation06_20110131/_033_rx+23.488_ry+79.732_rz-72.729_tx-00.129_ty+00.037_s+01.026_30badb926233fd0ff4d00a274c77543ab98ac0d3_256x256.png,b,b,b,none,none
1,images/Variation00_20110203/bmw325_rx+00.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+01.000_99d6fc931185f148ad118ac9d15ddf55961196da_256x256.png,images/gray_background.png,images/gray_background.png,images/Variation03_20110128/junkers88_rx-19.269_ry-14.898_rz+27.912_tx-00.048_ty+00.170_s+01.421_16a78814a4853fda41bbf66569729e25b2f4fba3_256x256.png,images/Variation00_20110203/cruiser_rx+00.000_ry+90.000_rz+00.000_tx+00.000_ty+00.000_s+01.200_2b6cecbb41225444591d526c630a14f55242b461_256x256.png,images/Variation06_20110131/rdbarren_rx-78.512_ry+28.101_rz-79.662_tx+00.002_ty-00.033_s+02.035_39bf8a03a687a8b90ce90c0cd72a60432103f378_256x256.png,b,b,b,x,none
